term,l,estimate,se,tval,pval,feature
rel_time_bin::1:is_underperformer,1,0.4951228416848362,0.2831559416356383,1.7485871524530976,0.08689158974448252,GDP
rel_time_bin::2:is_underperformer,2,0.46006436374159776,0.6458914357954151,0.7122936429324669,0.47980415285312883,GDP
rel_time_bin::3:is_underperformer,3,0.9089081726551508,0.9608439656665935,0.9459477346299284,0.34901332455918577,GDP
rel_time_bin::4:is_underperformer,4,0.5352414626280615,1.1329002297830848,0.47245242657470693,0.6387903914181066,GDP
rel_time_bin::5:is_underperformer,5,0.3964487866341996,1.2199881101257113,0.3249611888376095,0.7466525493636584,GDP
rel_time_bin::6:is_underperformer,6,0.37161240133746537,1.2309775914487184,0.30188396922816485,0.7640723244896974,GDP
rel_time_bin::7:is_underperformer,7,0.09358848730768092,1.229770534622885,0.07610239851484185,0.9396606593232989,GDP
rel_time_bin::8:is_underperformer,8,0.31113572777893417,0.9808853959025283,0.31719885837698014,0.7524975398059176,GDP
rel_time_bin::9:is_underperformer,9,0.39356003733557204,1.1242471569867527,0.3500654058938478,0.7278535597223496,GDP
rel_time_bin::10:is_underperformer,10,0.47771614098054693,1.0389424101067881,0.459810030212786,0.6477725989756167,GDP
rel_time_bin::11:is_underperformer,11,0.3571980527021599,1.0585262966984066,0.3374484448957739,0.7372813355916843,GDP
rel_time_bin::12:is_underperformer,12,0.17557723993314406,1.2154786975194793,0.14445110415464954,0.8857619072440304,GDP
rel_time_bin::13:is_underperformer,13,-0.3973518974580276,1.0349765594084952,-0.38392357183926973,0.7027665172829477,GDP
rel_time_bin::14:is_underperformer,14,-0.655520148898675,1.1325045793858484,-0.5788233980070618,0.5654721075669985,GDP
rel_time_bin::15:is_underperformer,15,-0.06173168809128066,1.035080773388195,-0.059639488703099416,0.9526956360557,GDP
rel_time_bin::16:is_underperformer,16,0.13509128676851295,0.9312554675665737,0.14506361731385542,0.8852809576713372,GDP
lag_level,NA,-2.7762214281253437,0.7189790554142634,-3.8613383897890214,3.436333326874453e-4,Private consumption
host,NA,-0.022651459472062263,0.8089511834759666,-0.02800102148899968,0.9777798965029955,Private consumption
rel_time_bin::-16:is_underperformer,-16,-0.4582330258331318,0.5022865794933273,-0.9122939862246892,0.36626988953628525,Private consumption
rel_time_bin::-15:is_underperformer,-15,-0.28301724487847024,0.761825571935088,-0.37149874630696295,0.7119356310312448,Private consumption
rel_time_bin::-14:is_underperformer,-14,-0.4450322914244063,0.8399593473482136,-0.5298259883997858,0.5987266928460182,Private consumption
rel_time_bin::-13:is_underperformer,-13,-0.7414919722664058,0.8979537115092446,-0.8257574558271337,0.4131137221696387,Private consumption
rel_time_bin::-12:is_underperformer,-12,-1.233138935665969,1.0244101769167122,-1.2037550616467831,0.2347121214654891,Private consumption
rel_time_bin::-11:is_underperformer,-11,-1.0040959058246504,0.7810941735023448,-1.2854991624407965,0.2049160766618476,Private consumption
rel_time_bin::-10:is_underperformer,-10,-0.9170591758275236,0.6740465210266259,-1.360528015827113,0.18015224359491125,Private consumption
rel_time_bin::-9:is_underperformer,-9,-0.6761378710552799,0.7448994152034825,-0.907690162262486,0.3686726222612755,Private consumption
rel_time_bin::-8:is_underperformer,-8,-0.6909043088615506,0.6955521421069758,-0.9933177788348895,0.32564173618461545,Private consumption
rel_time_bin::-7:is_underperformer,-7,-1.1723865685513986,0.6473430323760642,-1.8110746697128552,0.07652306759396547,Private consumption
