feature,feature_label,term,estimate,se,tval,pval,l
capital_formation,Capital formation,rel_time_bin::6:is_winner,0.15883993225818602,2.124935759747591,0.0747504631749685,0.9407305131760274,6
capital_formation,Capital formation,rel_time_bin::7:is_winner,0.8559904794158124,2.0498029490230283,0.4175964718090548,0.6781437806160526,7
capital_formation,Capital formation,rel_time_bin::8:is_winner,2.3511310865052772,1.678948137349311,1.4003595669233686,0.16797297666220345,8
capital_formation,Capital formation,rel_time_bin::9:is_winner,2.0945151506054875,1.6155346230161605,1.2964842230958091,0.20113839079855364,9
capital_formation,Capital formation,rel_time_bin::10:is_winner,2.612262494908134,1.5292184754645302,1.7082336741416937,0.09419057152967587,10
capital_formation,Capital formation,rel_time_bin::11:is_winner,1.033188502530396,1.1953359041540534,0.8643499278653307,0.39178575762585066,11
capital_formation,Capital formation,rel_time_bin::12:is_winner,0.8083251210898198,1.5009600954170061,0.5385387150250959,0.5927468041760885,12
capital_formation,Capital formation,rel_time_bin::13:is_winner,0.4551225535462957,1.2883691507448516,0.35325477428823354,0.7254770156439925,13
capital_formation,Capital formation,rel_time_bin::14:is_winner,0.1667035709283824,1.7478535622525189,0.09537616567462653,0.9244215416717296,14
capital_formation,Capital formation,rel_time_bin::15:is_winner,1.736165143008607,1.4863599491123412,1.16806507336628,0.2486717024321974,15
capital_formation,Capital formation,rel_time_bin::16:is_winner,0.15718801240830604,1.2166389366127437,0.12919857130820975,0.8977518477113144,16
capital_formation,Capital formation,host,-1.5865651868634993,1.3340234586625106,-1.1893083113052498,0.24029219791158637,NA
capital_formation,Capital formation,ln_l4,-7.816062694820657,1.7487808816779555,-4.469435122896096,4.9276329607125e-5,NA
exports,Exports,rel_time_bin::-16:is_winner,2.4539809624156783,2.165712581854761,1.1331055574853974,0.2629171585379302,-16
exports,Exports,rel_time_bin::-15:is_winner,0.4483498379474879,1.8186808527187228,0.24652474747136388,0.8063496179616655,-15
exports,Exports,rel_time_bin::-14:is_winner,1.2389330211912912,2.126273419150763,0.5826781306827996,0.56289521966014755,-14
exports,Exports,rel_time_bin::-13:is_winner,2.1368354244940972,2.582376904811856,0.8274684537769983,0.4121533504984689,-13
exports,Exports,rel_time_bin::-12:is_winner,0.8812319557431186,2.158326551393991,0.40829408097396586,0.684912012870342,-12
