country_code,country_name,year,population_million,population,unit_measure,source
EST,Estonia,2005,1354775,1354775000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2006,1346810,1346810000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2007,1340680,1340680000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2008,1337090,1337090000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2009,1334515,1334515000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2010,1331475,1331475000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2011,1327439,1327439000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2012,1322696,1322696000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2013,1317997,1317997000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2014,1314545,1314545000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2015,1314608,1314608000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2016,1315790,1315790000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2017,1317384,1317384000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2018,1321977,1321977000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2019,1326855,1326855000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2020,1329479,1329479000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2021,1330932,1330932000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
EST,Estonia,2022,1348840,1348840000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1960,9983514,9983514000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1961,10027958,10027958000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1962,10060823,10060823000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1963,10087948,10087948000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1964,10119834,10119834000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1965,10147932,10147932000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
HUN,Hungary,1966,10178653,10178653000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
