country,country_name,quarter,gdp,consumption,investment,exports,imports,year,qtr,gdp_yoy_pct,consumption_yoy_pct,investment_yoy_pct,exports_yoy_pct,imports_yoy_pct
SWE,Sweden,1975-Q3,250588.3,103940.55,58781.8,35735.3,46362.8,1975,3,1.7499700542272123,1.4908154422623943,5.849452761761387,-13.47971566092372,3.0298181753534603
SWE,Sweden,1975-Q4,253787.5,105183.3,57068.4,38196.2,47386.9,1975,4,1.665342708797768,5.570426754910263,-1.3814245573531392,-8.258736102337716,-7.159510356339571
SWE,Sweden,1976-Q1,249558.9,106057.55,58134.3,38734.2,49425.0,1976,1,-0.6630717441398093,4.2290596073089715,-1.767646044974347,3.2053331628085546,5.09785742840374
SWE,Sweden,1976-Q2,253968.3,107933.3,60021.7,38309.6,50618.1,1976,2,2.272751983795396,3.7586236564928432,0.9146285078273086,2.754084993616357,8.30968918103503
SWE,Sweden,1976-Q3,252593.6,107999.85,59849.9,39872.0,48804.0,1976,3,0.8002368825679396,3.905405541917961,1.8170590216699756,11.575948711777983,5.2654283175304295
SWE,Sweden,1976-Q4,251424.1,109089.15,60858.6,38253.5,55555.7,1976,4,-0.9312515391813991,3.7133746516794908,6.641503879555044,0.15001492295045882,17.23851950644586
SWE,Sweden,1977-Q1,246312.9,108593.70000000001,59107.7,38888.8,52745.1,1977,1,-1.3006949461630057,2.3912960463446487,1.6743987628645929,0.399130484171617,6.71745068285281
SWE,Sweden,1977-Q2,248802.4,109142.9,59057.1,38479.0,48564.9,1977,2,-2.034072756324312,1.1206921311587736,-1.6070854374334642,0.44218681479315514,-4.056256556449167
SWE,Sweden,1977-Q3,249158.4,107869.45000000001,55564.2,37927.3,46803.4,1977,3,-1.359971115657721,-0.12074090843644525,-7.1607471357512775,-4.877357544141248,-4.099254159495125
SWE,Sweden,1977-Q4,247683.7,107969.65,58101.3,42133.8,48616.2,1977,4,-1.4876855480441153,-1.0262248812095476,-4.530666167148101,10.143646986550259,-12.49106752322444
SWE,Sweden,1978-Q1,251702.7,107872.3,54758.2,41439.0,45524.0,1978,1,2.1881923358459954,-0.6643110972367694,-7.35860133282128,6.557672131822012,-13.690560829347175
SWE,Sweden,1978-Q2,255623.9,109174.15,52626.3,42941.9,45446.4,1978,2,2.7417340025658987,0.028632187709876078,-10.889122561046849,11.59827438342993,-6.4213042753099465
SWE,Sweden,1978-Q3,250352.3,109740.8,54284.7,41101.3,44890.5,1978,3,0.4791730882844014,1.734828535790256,-2.302741693392507,8.368642112673452,-4.087096236598198
SWE,Sweden,1978-Q4,254430.2,110831.85,54300.1,44227.3,50097.3,1978,4,2.723836893586462,2.650930145647412,-6.542366521919485,4.968694966986131,3.0465153590778504
SWE,Sweden,1979-Q1,259681.7,112285.1,56687.4,43553.1,49373.7,1979,1,3.1700096979492054,4.0907628742503865,3.5231253036074994,5.101715774994564,8.456418592390813
SWE,Sweden,1979-Q2,263851.1,114054.8,56744.7,44711.5,51659.7,1979,2,3.218478397364244,4.470517975180033,7.825744922215683,4.120916866743207,13.671709970426683
SWE,Sweden,1979-Q3,264579.1,112214.8,56339.4,45050.3,51066.3,1979,3,5.682711922359007,2.2544031025835354,3.7850444047770493,9.607968604399364,13.757476526213797
SWE,Sweden,1979-Q4,264861.8,113942.65,55841.7,46808.4,55471.8,1979,4,4.099984986059035,2.8067744064544486,2.8390371288450567,5.835988179246754,10.728123072500907
SWE,Sweden,1980-Q1,273146.2,114509.54999999999,58080.2,47083.0,55162.8,1980,1,5.185001484509688,1.981073178899062,2.456983386078737,8.104819174754496,11.725068204327416
SWE,Sweden,1980-Q2,260124.5,113079.6,57340.7,41277.8,50595.1,1980,2,-1.4123875170503286,-0.8550275832319154,1.05031835572309,-7.679679724455668,-2.0607940038366412
SWE,Sweden,1980-Q3,270000.4,114382.65,59231.1,46826.8,54286.9,1980,3,2.049028060039526,1.9318752963067176,5.13264252015464,3.94336996645972,6.306703246563772
SWE,Sweden,1980-Q4,264716.5,112777.25,58761.8,43973.1,48426.7,1980,4,-0.05485879805996463,-1.0227952395349682,5.22924624429415,-6.057246135309057,-12.70032701300482
SWE,Sweden,1981-Q1,266342.3,114036.3,56360.4,44158.0,49101.8,1981,1,-2.490937087903844,-0.41328430685474427,-2.961077957720526,-6.212433362360093,-10.98747706787908
SWE,Sweden,1981-Q2,266177.1,114844.35,55521.0,44889.5,49197.0,1981,2,2.3268088934337072,1.5606263198667092,-3.17348759258258,8.749739569453796,-2.763311071625507
SWE,Sweden,1981-Q3,268219.4,114837.29999999999,54956.9,46479.2,49763.3,1981,3,-0.6596286524020001,0.39748161106600843,-7.216141520248653,-0.7423099592541171,-8.332765363282856
SWE,Sweden,1981-Q4,265208.6,114407.95,53026.2,47914.1,49339.7,1981,4,0.185896987909695,1.4459476534496085,-9.760762944634106,8.962297404549592,1.8853235921506117
SWE,Sweden,1982-Q1,265961.9,115190.6,54819.5,47319.9,50220.8,1982,1,-0.1428237272111721,1.0122215469986262,-2.734011823904725,7.1604239322433205,2.2789388576386127
SWE,Sweden,1982-Q2,271579.8,115250.20000000001,55910.7,48991.5,51104.2,1982,2,2.0297388468053734,0.3533913509894182,0.7018965796725452,9.137994408491966,3.876659145882866
SWE,Sweden,1982-Q3,268208.2,115603.25,54533.2,49013.3,51940.0,1982,3,-0.004175686024210368,0.6669871200385424,-0.7709677947628113,5.452116215425407,4.374107022645202
SWE,Sweden,1982-Q4,273433.9,115897.35,56024.3,50387.0,53246.0,1982,4,3.101445428240268,1.3018326086605025,5.65399745786046,5.16111123865417,7.917153934863808
SWE,Sweden,1983-Q1,270340.2,113832.54999999999,56456.9,53168.7,51874.6,1983,1,1.6462132358055825,-1.17895904700559,2.9868933499940686,12.360127557327871,3.2930578565056656
SWE,Sweden,1983-Q2,272471.6,113865.79999999999,54782.5,53482.2,50874.8,1983,2,0.3283749380476708,-1.201212666008411,-2.017860624173906,9.166283947215327,-0.44888678425646367
SWE,Sweden,1983-Q3,275543.3,114556.0,57017.1,54017.0,52001.9,1983,3,2.734852998528736,-0.9059001368906139,4.554839987383841,10.208861676320513,0.11917597227570909
