event_id,event_country,event_quarter,event_q_index,q_index,country,quarter,WIN_m16,WIN_m15,WIN_m14,WIN_m13,WIN_m12,WIN_m11,WIN_m10,WIN_m9,WIN_m8,WIN_m7,WIN_m6,WIN_m5,WIN_m4,WIN_m3,WIN_m2,WIN_m1,WIN_p0,WIN_p1,WIN_p2,WIN_p3,WIN_p4,WIN_p5,WIN_p6,WIN_p7,WIN_p8,WIN_p9,WIN_p10,WIN_p11,WIN_p12,WIN_p13,WIN_p14,WIN_p15,WIN_p16
1,BRA,2002-Q2,8010,7995,LTU,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,LUX,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,LVA,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,MEX,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,NLD,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,NOR,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,NZL,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,POL,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,PRT,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,ROU,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,RUS,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,SVK,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,SVN,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,SWE,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,TUR,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,USA,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7995,ZAF,1998-Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7996,ARG,1998-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7996,AUS,1998-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7996,AUT,1998-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7996,BEL,1998-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,BRA,2002-Q2,8010,7996,BGR,1998-Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
